sid;№ ФО;Запись (br);Файл;Строка;Тип
1;2;0;branches/BranchDemo.java;6;вход
2;2;-1;branches/BranchDemo.java;8;выход
3;3;0;branches/BranchDemo.java;10;вход
4;3;-1;branches/BranchDemo.java;16;выход
5;3;1;branches/BranchDemo.java;13;else
6;3;1;branches/BranchDemo.java;11;if
7;4;0;branches/BranchDemo.java;18;вход
8;4;-1;branches/BranchDemo.java;24;выход
9;4;1;branches/BranchDemo.java;20;for
10;5;0;branches/BranchDemo.java;26;вход
11;5;-1;branches/BranchDemo.java;33;выход
12;5;1;branches/BranchDemo.java;28;while
13;6;0;branches/BranchDemo.java;35;вход
14;6;-1;branches/BranchDemo.java;41;выход
15;6;1;branches/BranchDemo.java;38;catch
16;6;1;branches/BranchDemo.java;36;try
17;7;0;branches/BranchDemo.java;49;вход
18;7;-1;branches/BranchDemo.java;51;выход
19;8;0;branches/BranchDemo.java;53;вход
20;8;-1;branches/BranchDemo.java;55;выход
21;10;0;branches/ExceptionDemo.java;9;вход
22;10;-1;branches/ExceptionDemo.java;20;выход
23;10;1;branches/ExceptionDemo.java;16;catch
24;10;1;branches/ExceptionDemo.java;11;try
25;10;2;branches/ExceptionDemo.java;12;if
26;11;0;branches/ExceptionDemo.java;24;вход
27;11;-1;branches/ExceptionDemo.java;43;выход
28;11;1;branches/ExceptionDemo.java;25;try
29;11;1;branches/ExceptionDemo.java;40;catch
30;11;1;branches/ExceptionDemo.java;38;catch
31;11;1;branches/ExceptionDemo.java;36;catch
32;11;2;branches/ExceptionDemo.java;26;if
33;11;3;branches/ExceptionDemo.java;29;if
34;11;4;branches/ExceptionDemo.java;32;if
35;12;0;branches/ExceptionDemo.java;46;вход
36;12;-1;branches/ExceptionDemo.java;61;выход
37;12;1;branches/ExceptionDemo.java;48;try
38;12;1;branches/ExceptionDemo.java;57;catch
39;12;2;branches/ExceptionDemo.java;49;try
40;12;2;branches/ExceptionDemo.java;54;catch
41;12;3;branches/ExceptionDemo.java;50;if
42;13;0;branches/ExceptionDemo.java;64;вход
43;13;-1;branches/ExceptionDemo.java;81;выход
44;13;1;branches/ExceptionDemo.java;77;catch
45;13;1;branches/ExceptionDemo.java;66;try
46;13;2;branches/ExceptionDemo.java;67;for
47;13;3;branches/ExceptionDemo.java;70;if
48;13;4;branches/ExceptionDemo.java;74;if
49;14;0;branches/ExceptionDemo.java;85;вход
50;14;-1;branches/ExceptionDemo.java;93;выход
51;14;1;branches/ExceptionDemo.java;87;try
52;16;0;branches/LoopDemo.java;6;вход
53;16;-1;branches/LoopDemo.java;12;выход
54;16;1;branches/LoopDemo.java;8;for
55;17;0;branches/LoopDemo.java;15;вход
56;17;-1;branches/LoopDemo.java;23;выход
57;17;1;branches/LoopDemo.java;17;for
58;17;2;branches/LoopDemo.java;18;for
59;18;0;branches/LoopDemo.java;26;вход
60;18;-1;branches/LoopDemo.java;38;выход
61;18;1;branches/LoopDemo.java;28;for
62;18;2;branches/LoopDemo.java;29;if
63;18;3;branches/LoopDemo.java;33;if
64;19;0;branches/LoopDemo.java;41;вход
65;19;-1;branches/LoopDemo.java;48;выход
66;19;1;branches/LoopDemo.java;43;while
67;20;0;branches/LoopDemo.java;51;вход
68;20;-1;branches/LoopDemo.java;58;выход
69;20;1;branches/LoopDemo.java;53;do
70;21;0;branches/LoopDemo.java;61;вход
71;21;-1;branches/LoopDemo.java;70;выход
72;21;1;branches/LoopDemo.java;63;while
73;21;2;branches/LoopDemo.java;64;if
74;23;0;branches/Main.java;10;вход
75;23;-1;branches/Main.java;66;выход
76;25;0;branches/NegativeDemo.java;10;вход
77;25;-1;branches/NegativeDemo.java;16;выход
78;26;0;branches/NegativeDemo.java;19;вход
79;26;-1;branches/NegativeDemo.java;24;выход
80;27;0;branches/NegativeDemo.java;29;вход
81;27;-1;branches/NegativeDemo.java;39;выход
82;27;1;branches/NegativeDemo.java;32;while
83;27;2;branches/NegativeDemo.java;34;if
84;28;0;branches/OtherDemo.java;9;вход
85;28;-1;branches/OtherDemo.java;11;выход
86;29;0;branches/OtherDemo.java;13;вход
87;29;-1;branches/OtherDemo.java;15;выход
88;31;0;branches/SwitchDemo.java;8;вход
89;31;-1;branches/SwitchDemo.java;22;выход
90;31;1;branches/SwitchDemo.java;10;case
91;31;2;branches/SwitchDemo.java;11;case
92;31;3;branches/SwitchDemo.java;13;case
93;31;4;branches/SwitchDemo.java;14;case
94;31;5;branches/SwitchDemo.java;15;case
95;31;6;branches/SwitchDemo.java;16;case
96;31;7;branches/SwitchDemo.java;17;case
97;31;8;branches/SwitchDemo.java;19;default
98;32;0;branches/SwitchDemo.java;26;вход
99;32;-1;branches/SwitchDemo.java;39;выход
100;32;1;branches/SwitchDemo.java;29;case
101;32;2;branches/SwitchDemo.java;32;case
102;32;3;branches/SwitchDemo.java;35;default
