№ п/п;№ ФО;ФО;№ ветви;Тип;Файл;Строка;Покрыта
1;3;branches.BranchDemo.ifBranch;1;if;branches/BranchDemo.java;11;да
2;3;branches.BranchDemo.ifBranch;1;else;branches/BranchDemo.java;13;да
3;4;branches.BranchDemo.forBranch;1;for;branches/BranchDemo.java;20;да
4;5;branches.BranchDemo.whileBranch;1;while;branches/BranchDemo.java;28;да
5;6;branches.BranchDemo.tryBranch;1;try;branches/BranchDemo.java;36;да
6;10;branches.ExceptionDemo.simpleTry;1;try;branches/ExceptionDemo.java;11;да
7;10;branches.ExceptionDemo.simpleTry;2;if;branches/ExceptionDemo.java;12;да
8;11;branches.ExceptionDemo.tryMultipleCatch;1;try;branches/ExceptionDemo.java;25;да
9;11;branches.ExceptionDemo.tryMultipleCatch;2;if;branches/ExceptionDemo.java;26;да
10;11;branches.ExceptionDemo.tryMultipleCatch;3;if;branches/ExceptionDemo.java;29;да
11;11;branches.ExceptionDemo.tryMultipleCatch;4;if;branches/ExceptionDemo.java;32;да
12;12;branches.ExceptionDemo.nestedTry;1;try;branches/ExceptionDemo.java;48;да
13;12;branches.ExceptionDemo.nestedTry;2;try;branches/ExceptionDemo.java;49;да
14;12;branches.ExceptionDemo.nestedTry;3;if;branches/ExceptionDemo.java;50;да
15;13;branches.ExceptionDemo.tryWithLoop;1;try;branches/ExceptionDemo.java;66;да
16;13;branches.ExceptionDemo.tryWithLoop;2;for;branches/ExceptionDemo.java;67;да
17;13;branches.ExceptionDemo.tryWithLoop;3;if;branches/ExceptionDemo.java;69;да
18;13;branches.ExceptionDemo.tryWithLoop;4;if;branches/ExceptionDemo.java;74;да
19;14;branches.ExceptionDemo.tryFinally;1;try;branches/ExceptionDemo.java;87;да
20;16;branches.LoopDemo.sumFor;1;for;branches/LoopDemo.java;8;да
21;17;branches.LoopDemo.nestedFor;1;for;branches/LoopDemo.java;17;да
22;17;branches.LoopDemo.nestedFor;2;for;branches/LoopDemo.java;18;да
23;18;branches.LoopDemo.forWithBreak;1;for;branches/LoopDemo.java;28;да
24;18;branches.LoopDemo.forWithBreak;2;if;branches/LoopDemo.java;29;да
25;18;branches.LoopDemo.forWithBreak;3;if;branches/LoopDemo.java;33;да
26;19;branches.LoopDemo.countDownWhile;1;while;branches/LoopDemo.java;43;да
27;20;branches.LoopDemo.doWhileDemo;1;do;branches/LoopDemo.java;53;да
28;21;branches.LoopDemo.whileWithIf;1;while;branches/LoopDemo.java;63;да
29;21;branches.LoopDemo.whileWithIf;2;if;branches/LoopDemo.java;64;да
30;27;branches.NegativeDemo.retryLabeled;1;while;branches/NegativeDemo.java;32;да
31;27;branches.NegativeDemo.retryLabeled;2;if;branches/NegativeDemo.java;34;да
32;31;branches.SwitchDemo.weekdayKind;1;case;branches/SwitchDemo.java;10;да
33;31;branches.SwitchDemo.weekdayKind;2;case;branches/SwitchDemo.java;11;да
34;31;branches.SwitchDemo.weekdayKind;3;case;branches/SwitchDemo.java;13;да
35;31;branches.SwitchDemo.weekdayKind;4;case;branches/SwitchDemo.java;14;да
36;31;branches.SwitchDemo.weekdayKind;5;case;branches/SwitchDemo.java;15;да
37;31;branches.SwitchDemo.weekdayKind;6;case;branches/SwitchDemo.java;16;да
38;31;branches.SwitchDemo.weekdayKind;7;case;branches/SwitchDemo.java;17;да
39;31;branches.SwitchDemo.weekdayKind;8;default;branches/SwitchDemo.java;19;да
40;32;branches.SwitchDemo.fallthroughSum;1;case;branches/SwitchDemo.java;29;да
41;32;branches.SwitchDemo.fallthroughSum;2;case;branches/SwitchDemo.java;32;да
42;32;branches.SwitchDemo.fallthroughSum;3;default;branches/SwitchDemo.java;35;да
